Column Name,Description
c_frstNtcDt ,The first day on which a notice of intent to deliver can be made by the clearinghouse to a buyer. 
c_lstDlvryDt ,The last date on which the underlying may be delivered into a futures contract. 
c_name ,The name of the contract.
c_vndrAssetTp ,Data vendor value of the asset type of the contract.
c_prntAssetTp ,RDU proprietary parent asset type of the contract.
c_strikePx ,The strike price of the option contract.
c_cfi ,"ISO 10962 (International Organization for Standardization) code 10962 which represents a standard classification of the features of a security.  The first character represents the category of the security, the second character represents the group of the security, and the third through sixth characters represent the attributes of the security. "
c_yrCd ,Contract period year code.
c_settleTp ,Indicates whether the product's contracts are cash settled or by physical delivery.
c_ctrSz ,The smallest available value of tradable contract. 
c_frstTrdDt ,The date a contract is first eligible to be traded.
c_settleFixDt ,"Date on which the value of the underlying is determined and used for final contract cash settlement. 
For example, a Eurodollar futures on CMEG (GE), which has as underlying the 3-Months USD LIBOR, has a fixing date from the second London bank business day immediately preceding the third Wednesday of the contract?s month of delivery. "
c_numOfLegs ,Total number of legs applicable for this strategy.
c_accrlStrtDt ,The first date in which the divident accrual calculation begins for the dividend future.
c_accrlEndDt ,The last date in which the divident accrual calculation begins for the dividend future.
c_mnthCd ,Contract period month code.
c_dayNum ,Contract expiration day code.
c_pntVal ,"The value of one point (One point = Tick Value / Tick Size). 
For example:
http://www.cmegroup.com/trading/agricultural/dairy/class-iii-milk_contract_specifications.html

- Tick Size:   0,01 USD 
- Price Quotation: Cents per hundred weight (cwt)
- Contract Size: 200000 Lbs
- Tick Value:  20 USD (200000 lbs * 0,01 USD * 1/100 (==cwt))
- Value of 1 point: 2000 USD (200000 lbs /1 USD * 1/100 (==cwt)) or Tick value/Tick Size = 20 USD /0,01 USD == 2000 USD."
c_flexFl ,"Yes/No flag, indicating whether certain attributes of the contract is adjusted, in correspondence to the flex elgibility of the corresponding product."
c_actFl ,"Yes/No flag, indicating the active/inactive status of the contract:
N = Indicates Inactive 
Y = Indicates Active"
c_wkNum ,Contract expiration week code.
c_lstNtcDt ,The final day on which a notice of intent to deliver on a contract may be issued.
c_trdStsTp ,"Indicates whether the contract is active, inactive or expired."
c_cfiCd ,"ISO 10962 (International Organization for Standardization) code 10962:2015 which represents a standard classification of the features of a security.  The first character represents the category of the security, the second character represents the group of the security, and the third through sixth characters represent the attributes of the security. "
c_isin ,The ISIN code of the product's contracts.
c_bbgTicker ,"Bloomberg DataLicense TICKER:
Abbreviation assigned to a security for trading purposes. 
Equities:       Specifies the Bloomberg ticker, which may or may not be an exchange symbol.
Corporates, Loans, Preferreds, Municipals, Money Markets, Governments, Mortgages:       Ticker is created by Bloomberg to store and link related securities. "
c_bbgIdBbUnique ,Bloomberg ID_BB_UNIQUE code of the product's contracts.
c_aiiCode ,"Alternative Instrument Identifier (Aii) consists of six separate mandatory elements which are collectively known as the Alternative Instrument Identifier (Aii).

In line with ESMA's requirements, the Aii is composed of six elements:
?ISO 10383 Market Identifier Code (MIC) of the regulated market where the derivative is traded.
?Exchange Product Code - the code assigned to the derivative contract by the regulated market where it is traded.
?Derivative Type - identifying whether the derivative is an option or a future.
?Put/Call Identifier - mandatory where the derivative is an option.
?Expiry Date - exercise date/maturity date of the derivative.
?Strike Price - mandatory where the derivative is an option."
